Designator,Mid X,Mid Y,Rotation,Layer
D1,70.0,-80.8,90.0,bottom
D10,253.35625,-80.8,90.0,bottom
D11,272.40625,-80.8,90.0,bottom
D12,291.45625,-80.8,90.0,bottom
D13,310.50625,-80.8,90.0,bottom
D14,329.55625,-80.8,90.0,bottom
D15,353.36875,-80.8,90.0,bottom
D16,70.0,-99.85,90.0,bottom
D17,96.19375,-99.85,90.0,bottom
D18,120.00625,-99.85,90.0,bottom
D19,139.05625,-99.85,90.0,bottom
D2,96.19375,-80.8,90.0,bottom
D20,158.10625,-99.85,90.0,bottom
D21,177.15625,-99.85,90.0,bottom
D22,196.20625,-99.85,90.0,bottom
D23,215.25625,-99.85,90.0,bottom
D24,234.30625,-99.85,90.0,bottom
D25,253.35625,-99.85,90.0,bottom
D26,272.40625,-99.85,90.0,bottom
D27,291.45625,-99.85,90.0,bottom
D28,310.50625,-99.85,90.0,bottom
D29,329.55625,-99.85,90.0,bottom
D3,120.00625,-80.8,90.0,bottom
D30,353.36875,-99.85,90.0,bottom
D31,70.0,-118.9,90.0,bottom
D32,96.19375,-118.9,90.0,bottom
D33,120.00625,-118.9,90.0,bottom
D34,139.05625,-118.9,90.0,bottom
D35,158.10625,-118.9,90.0,bottom
D36,177.15625,-118.9,90.0,bottom
D37,196.20625,-118.9,90.0,bottom
D38,215.25625,-118.9,90.0,bottom
D39,234.30625,-118.9,90.0,bottom
D4,139.05625,-80.8,90.0,bottom
D40,253.35625,-118.9,90.0,bottom
D41,272.40625,-118.9,90.0,bottom
D42,291.45625,-118.9,90.0,bottom
D43,310.50625,-118.9,90.0,bottom
D44,334.31875,-118.9,90.0,bottom
D45,70.0,-137.95,90.0,bottom
D46,96.19375,-137.95,90.0,bottom
D47,120.00625,-137.95,90.0,bottom
D48,139.05625,-137.95,90.0,bottom
D49,158.10625,-137.95,90.0,bottom
D5,158.10625,-80.8,90.0,bottom
D50,177.15625,-137.95,90.0,bottom
D51,196.20625,-137.95,90.0,bottom
D52,215.25625,-137.95,90.0,bottom
D53,234.30625,-137.95,90.0,bottom
D54,253.35625,-137.95,90.0,bottom
D55,272.40625,-137.95,90.0,bottom
D56,291.45625,-137.95,90.0,bottom
D57,315.26875,-137.95,90.0,bottom
D58,70.0,-157.0,90.0,bottom
D59,96.19375,-157.0,90.0,bottom
D6,177.15625,-80.8,90.0,bottom
D60,120.00625,-157.0,90.0,bottom
D61,139.05625,-157.0,90.0,bottom
D62,170.0125,-157.0,90.0,bottom
D63,217.6375,-157.0,90.0,bottom
D64,253.35625,-157.0,90.0,bottom
D65,272.40625,-157.0,90.0,bottom
D66,296.21875,-161.7625,90.0,bottom
D67,315.26875,-161.7625,90.0,bottom
D68,334.31875,-161.7625,90.0,bottom
D69,353.36875,-161.7625,90.0,bottom
D7,196.20625,-80.8,90.0,bottom
D8,215.25625,-80.8,90.0,bottom
D9,234.30625,-80.8,90.0,bottom
MX62,162.0125,-155.13005,0.0,top
MX63,209.6375,-155.13005,0.0,top
U1,205.796051,-46.23159,315.0,top
